,street,project,marketSegment,propertyType,enBlock,tenure,annual_appreciation,noOfTransactions,initialYear,leaseCommencement,leaseRemaining
3508,SELETAR ROAD,THE GREENWICH,OCR,Condominium,False,Leasehold,-0.014895142875954457,13646,2016,2009.0,92.0
1716,JALAN TARI PIRING,LANDED HOUSING DEVELOPMENT,OCR,Terrace,False,Freehold,-0.014944140886927793,4212,2017,1879.0,861.0
2420,BUKIT WAY,MONT TIMAH,OCR,Strata Terrace,False,Leasehold,-0.015266073216433926,1920,2017,2004.0,86.0
3840,TANAH MERAH KECHIL LINK,URBAN VISTA,OCR,Condominium,False,Leasehold,-0.015614191831544433,13406,2017,2012.0,94.0
1387,EASTWOOD DRIVE,LANDED HOUSING DEVELOPMENT,OCR,Semi-detached,False,Leasehold,-0.0160077295453618,1410,2017,1995.0,77.0
3708,JALAN KEMBANGAN,THE TRUMPS,OCR,Condominium,False,Leasehold,-0.016135617625744187,8652,2016,2000.0,83.0
2594,FLORA DRIVE,PALM ISLES,OCR,Condominium,False,Leasehold,-0.016315709262423227,25367,2016,2011.0,94.0
2885,PILLAI ROAD,RESIDENTIAL APARTMENTS,OCR,Apartment,False,Freehold,-0.016363636363636337,2561,2016,1972.0,955.0
289,CAIRNHILL ROAD,CAIRNHILL NINE,CCR,Apartment,False,Leasehold,-0.0166578717018211,15474,2016,2014.0,97.0
1164,KIM KEAT ROAD,KIM KEAT GARDENS,RCR,Apartment,False,Leasehold,-0.0168543557499545,717,2018,2001.0,82.0
3625,EAST COAST ROAD,THE RED HOUSE,RCR,Apartment,False,Leasehold,-0.016884139867803703,1666,2017,2012.0,94.0
2703,PHOENIX AVENUE,PHOENIX RESIDENCES,OCR,Apartment,False,Leasehold,-0.017045536495884327,1424,2020,2019.0,98.0
1325,CHESTNUT DRIVE,LANDED HOUSING DEVELOPMENT,OCR,Semi-detached,False,Freehold,-0.01749694841401191,691,2017,1882.0,864.0
1582,JALAN ISTIMEWA,LANDED HOUSING DEVELOPMENT,CCR,Semi-detached,False,Freehold,-0.017586944817340525,718,2017,1877.0,859.0
1261,BENG WAN ROAD,LANDED HOUSING DEVELOPMENT,RCR,Detached,False,Leasehold,-0.018328939094750044,464,2018,1949.0,30.0
1333,CHUAN DRIVE,LANDED HOUSING DEVELOPMENT,OCR,Terrace,False,Leasehold,-0.01891339869281038,470,2019,1997.0,77.0
2485,PHENG GECK AVENUE,NIN RESIDENCE,RCR,Apartment,False,Leasehold,-0.01894402720899223,9759,2016,2010.0,93.0
2694,PARK ROAD,PEOPLE'S PARK COMPLEX,RCR,Apartment,False,Leasehold,-0.019026060653013165,8085,2016,1968.0,51.0
1238,ANDREWS TERRACE,LANDED HOUSING DEVELOPMENT,OCR,Terrace,False,Leasehold,-0.019080832536676664,1165,2017,2008.0,90.0
3991,ASHWOOD GROVE,WOODGROVE ESTATE,OCR,Terrace,False,Leasehold,-0.01984404899145516,2554,2016,1993.0,76.0
2749,QUEEN ASTRID PARK,QUEEN ASTRID PARK,CCR,Detached,False,Freehold,-0.019917512765179654,448,2017,1876.0,858.0
1768,KING'S CLOSE,LANDED HOUSING DEVELOPMENT,CCR,Detached,False,Freehold,-0.020283611559863572,925,2018,1875.0,856.0
1732,JALAN WAJEK,LANDED HOUSING DEVELOPMENT,RCR,Semi-detached,False,Leasehold,-0.02088804775316955,956,2016,1952.0,35.0
2982,ROSEWOOD DRIVE,ROSEWOOD SUITES,OCR,Condominium,False,Leasehold,-0.021209876970297938,11041,2016,2008.0,91.0
233,JALAN LOYANG BESAR,BLUWATERS 2,OCR,Condominium,False,Freehold,-0.021481394790336193,5784,2016,1938.0,868.0
1990,PINEWOOD GROVE,LANDED HOUSING DEVELOPMENT,OCR,Detached,False,Leasehold,-0.021711144635371275,1630,2016,1995.0,78.0
2092,SUNRISE AVENUE,LANDED HOUSING DEVELOPMENT,OCR,Terrace,False,Leasehold,-0.021877100505890257,1397,2016,1995.0,78.0
2511,PASIR RIS GROVE,NV RESIDENCES,OCR,Condominium,False,Leasehold,-0.02192099739311245,35736,2016,2008.0,91.0
685,STAMFORD ROAD,EDEN RESIDENCES CAPITOL,CCR,Apartment,False,Leasehold,-0.02326237573090171,717,2019,2011.0,91.0
1763,KEW TERRACE,LANDED HOUSING DEVELOPMENT,OCR,Semi-detached,False,Leasehold,-0.025195380184469263,956,2017,1994.0,76.0
351,CASHEW ROAD,CASHEW GREEN,OCR,Terrace,False,Freehold,-0.025663974193522624,3760,2018,1883.0,864.0
133,WAK HASSAN PLACE,AVANT PARC,OCR,Terrace,False,Leasehold,-0.026045351932342736,699,2017,2011.0,93.0
2876,MOULMEIN ROAD,RESIDENTIAL APARTMENTS,CCR,Apartment,False,Freehold,-0.027003794845842588,1200,2019,1966.0,946.0
3691,WOODLANDS ROAD,THE TENNERY,OCR,Apartment,False,Leasehold,-0.027754559811907727,14694,2016,2010.0,93.0
2220,JALAN LOYANG BESAR,LE LOYANG,OCR,Apartment,False,Freehold,-0.028267783661004468,1194,2016,1885.0,868.0
469,JALAN RINDU,CLASSICAL TERRACE,OCR,Semi-detached,False,Leasehold,-0.028401177981392186,1647,2017,1993.0,75.0
447,CHUAN LINK,CHUAN VILLE,OCR,Terrace,False,Leasehold,-0.02925531914893619,466,2017,2001.0,83.0
2722,FARRER DRIVE,POLLEN & BLEU,CCR,Condominium,False,Leasehold,-0.029530429321852215,14908,2017,2012.0,94.0
3477,MAR THOMA ROAD,THE ELYSIA,RCR,Apartment,False,Freehold,-0.029589498187614208,2148,2018,1882.0,863.0
2516,OCEAN DRIVE,OCEAN 8,CCR,Terrace,False,Leasehold,-0.031960094942180654,932,2016,2005.0,88.0
1484,HAI SING ROAD,LANDED HOUSING DEVELOPMENT,OCR,Terrace,False,Freehold,-0.03331752635301292,1182,2018,1876.0,857.0
