,street,project,marketSegment,propertyType,enBlock,tenure,annual_appreciation,noOfTransactions,initialYear,leaseCommencement,leaseRemaining
339,JALAN LOYANG BESAR,CASA PASIR RIS,OCR,Condominium,False,Freehold,0.19724124794527387,2177,2017,1938.0,867.0
3330,TAMPINES STREET 11,TAMPINES COURT,OCR,Condominium,True,Leasehold,0.1948366029331998,3863,2016,1985.0,70.0
2172,VICTORIA PARK CLOSE,LANDED HOUSING DEVELOPMENT,CCR,Detached,False,Freehold,0.18746224107579085,709,2016,1875.0,858.0
1355,COVE GROVE,LANDED HOUSING DEVELOPMENT,CCR,Detached,False,Leasehold,0.18396614413286302,1412,2017,2009.0,91.0
2883,PASIR PANJANG ROAD,RESIDENTIAL APARTMENTS,RCR,Apartment,False,Freehold,0.18187134502923966,452,2017,1966.0,948.0
1132,KELULUT HILL,KELULUT HILL,OCR,Terrace,False,Freehold,0.1809565256705368,4200,2016,1879.0,862.0
3829,ROBERTSON QUAY,UP@ROBERTSON QUAY,CCR,Apartment,False,Leasehold,0.17908422746171362,1191,2017,2011.0,93.0
34,PHILLIPS AVENUE,3@PHILLIPS,OCR,Apartment,False,Freehold,0.1781801360501077,1433,2017,1886.0,868.0
1253,BEDOK TERRACE,LANDED HOUSING DEVELOPMENT,OCR,Terrace,False,Freehold,0.1765097403235627,702,2018,1878.0,859.0
1354,COVE DRIVE,LANDED HOUSING DEVELOPMENT,CCR,Detached,False,Leasehold,0.16759281644409846,2820,2016,2007.0,90.0
810,HILLSIDE DRIVE,FORTUNA HILL,OCR,Terrace,False,Freehold,0.1565656565656566,702,2018,1876.0,857.0
2985,ROSYTH ROAD,ROSYTH VILLE,OCR,Apartment,False,Freehold,0.15193551647463108,959,2017,1886.0,868.0
3274,KISMIS ROAD,SUMMERLEA GREEN,RCR,Terrace,False,Leasehold,0.14722761995115835,2314,2017,1995.0,77.0
3787,ANCHORVALE CRESCENT,TREASURE CREST,OCR,Executive Condominium,False,Leasehold,0.1432584188701467,94723,2016,2015.0,98.0
549,JALAN SENDUDOK,D'BANYAN,OCR,Apartment,False,Freehold,0.14053132292227605,1195,2016,1885.0,868.0
3440,ORCHARD ROAD,THE CENTREPOINT,CCR,Apartment,False,Leasehold,0.13485674512088833,2386,2017,1979.0,61.0
986,HILLSIDE DRIVE,HILLSGROVE,OCR,Strata Semi-detached,False,Freehold,0.1344921254967298,1235,2018,1878.0,859.0
1390,EASTWOOD ROAD,LANDED HOUSING DEVELOPMENT,OCR,Semi-detached,False,Leasehold,0.13393316868246405,1169,2018,1995.0,76.0
3129,LORONG 39 GEYLANG,SIMS RESIDENCES,RCR,Apartment,False,Leasehold,0.13371641791044778,5018,2016,1997.0,80.0
2593,PALM GROVE AVENUE,PALM HAVEN,OCR,Condominium,False,Freehold,0.13357600465928948,3146,2016,1876.0,859.0
1041,YIO CHU KANG ROAD,HUNDRED PALMS RESIDENCES,OCR,Executive Condominium,False,Leasehold,0.13300884393810747,86359,2017,2016.0,98.0
1629,JALAN LIMAU PURUT,LANDED HOUSING DEVELOPMENT,OCR,Semi-detached,False,Freehold,0.13244249029916955,454,2020,1878.0,857.0
3332,TANAH MERAH KECHIL RISE,TANAH MERAH GREEN,OCR,Terrace,False,Leasehold,0.12591979277408574,3039,2017,1997.0,79.0
2377,ALMOND STREET,MERA GARDENS,OCR,Terrace,False,Leasehold,0.12574790818353437,5363,2016,1994.0,77.0
3344,TAN QUEE LAN STREET,TANQUEELAN SUITES,CCR,Apartment,False,Freehold,0.12499388116308466,479,2018,1827.0,808.0
1968,PALM GROVE AVENUE,LANDED HOUSING DEVELOPMENT,OCR,Terrace,False,Freehold,0.12459473045824822,1174,2016,1878.0,861.0
721,CASHEW ROAD,ESPA,OCR,Condominium,False,Freehold,0.12284379123958278,5559,2016,1882.0,865.0
2027,SANDILANDS ROAD,LANDED HOUSING DEVELOPMENT,OCR,Terrace,False,Freehold,0.12014530332806365,1170,2017,1886.0,868.0
2318,MENG SUAN ROAD,MANDAI GARDEN,OCR,Terrace,False,Freehold,0.11402517647030673,1190,2018,1884.0,865.0
1922,MING TECK PARK,LANDED HOUSING DEVELOPMENT,CCR,Semi-detached,False,Freehold,0.11182430349066859,1660,2017,1876.0,858.0
2721,POH HUAT CRESCENT,POH HUAT GARDENS,OCR,Terrace,False,Freehold,0.11159950645626113,1636,2016,1883.0,866.0
3903,SOUTH BUONA VISTA ROAD,VISTA PARK,RCR,Condominium,False,Leasehold,0.11033937009255737,3586,2016,1979.0,62.0
956,JALAN ARIF,HENLEY GARDENS,OCR,Terrace,False,Leasehold,0.11018676437930269,1392,2018,1996.0,77.0
1761,KEW DRIVE,LANDED HOUSING DEVELOPMENT,OCR,Terrace,False,Leasehold,0.10881996953169194,1336,2017,1994.0,76.0
1332,CHU YEN STREET,LANDED HOUSING DEVELOPMENT,OCR,Semi-detached,False,Freehold,0.10840592679595984,955,2017,1885.0,867.0
440,CHUAN DRIVE,CHUAN GREEN,OCR,Terrace,False,Leasehold,0.10386595089335285,3986,2016,2002.0,85.0
3452,MAS KUNING TERRACE,THE CLEMENTVALE,OCR,Terrace,False,Leasehold,0.10124675063583903,2326,2017,1997.0,79.0
1760,KEW CRESCENT,LANDED HOUSING DEVELOPMENT,OCR,Terrace,False,Leasehold,0.09966211881153371,2355,2017,1994.0,76.0
610,DUCHESS ROAD,DUCHESS MANOR,CCR,Condominium,False,Freehold,0.09960093423937443,2171,2017,1875.0,857.0
1714,JALAN TARI DULANG,LANDED HOUSING DEVELOPMENT,OCR,Terrace,False,Freehold,0.09955568910205587,1404,2018,1879.0,860.0
900,CACTUS DRIVE,GRANDE VISTA,OCR,Condominium,False,Freehold,0.09834482481421777,7016,2016,1886.0,869.0
1155,KEW DRIVE,KEW VALE,OCR,Terrace,False,Leasehold,0.09811795517032978,9392,2016,1994.0,77.0
1391,EASTWOOD TERRACE,LANDED HOUSING DEVELOPMENT,OCR,Terrace,False,Leasehold,0.09678812349787393,932,2017,1995.0,77.0
2735,DUCHESS ROAD,PRINCESS OF WALES PARK,CCR,Detached,False,Freehold,0.09556380504295085,661,2017,1875.0,857.0
944,HAVELOCK ROAD,HARVEST MANSIONS,RCR,Apartment,False,Leasehold,0.09550679205851614,1191,2016,1993.0,76.0
1673,JALAN REMAJA,LANDED HOUSING DEVELOPMENT,OCR,Semi-detached,False,Freehold,0.09393029569966949,928,2017,1885.0,867.0
1162,WILMONAR AVENUE,KILBURN ESTATE,RCR,Detached,False,Freehold,0.09333013435700577,468,2019,1885.0,865.0
672,EASTWOOD TERRACE,EASTWOOD VILLE,OCR,Terrace,False,Leasehold,0.09188138200726441,1862,2016,1995.0,78.0
1752,KANG CHOO BIN ROAD,LANDED HOUSING DEVELOPMENT,OCR,Terrace,False,Freehold,0.09088246603172558,1890,2016,1883.0,866.0
3199,ST. ANNE'S WOOD,ST ANNE'S WOOD,OCR,Terrace,False,Freehold,0.0908555,1640,2016,1875.0,858.0
3555,MIDDLE ROAD,THE M,CCR,Apartment,False,Leasehold,0.09074717815591318,84008,2020,2019.0,98.0
3548,UPPER BUKIT TIMAH ROAD,THE LINEAR,OCR,Apartment,False,Freehold,0.09035446435275363,13430,2016,1876.0,859.0
2024,ROSYTH TERRACE,LANDED HOUSING DEVELOPMENT,OCR,Terrace,False,Freehold,0.08997628542282166,468,2017,1886.0,868.0
3375,LORONG 27 GEYLANG,THE ALCOVE,RCR,Apartment,False,Leasehold,0.08960205391527595,5013,2016,2000.0,83.0
2444,MUGLISTON PARK,MUGLISTON HILL,OCR,Terrace,False,Freehold,0.08866879968974206,1168,2016,1886.0,869.0
2651,YUAN CHING ROAD,PARK VIEW MANSION,OCR,Apartment,False,Leasehold,0.08689165190203231,714,2016,1976.0,59.0
3847,CHUAN TERRACE,VALVISTA,OCR,Terrace,False,Leasehold,0.08540022547914315,1864,2017,2001.0,83.0
678,BEDOK SOUTH AVENUE 3,ECO,OCR,Condominium,False,Leasehold,0.08531543825037408,26589,2016,2012.0,95.0
1031,LEONIE HILL,HORIZON TOWERS,CCR,Condominium,False,Leasehold,0.08358130209982059,5302,2016,1979.0,62.0
3579,JALAN TARI PAYONG,THE MORNING DEW,OCR,Terrace,False,Freehold,0.0827879911990286,1404,2017,1879.0,861.0
1059,CHOA CHU KANG AVENUE 5,INZ RESIDENCE,OCR,Executive Condominium,False,Leasehold,0.0824629399987831,121003,2017,2015.0,97.0
2169,VANDA ROAD,LANDED HOUSING DEVELOPMENT,CCR,Detached,False,Freehold,0.08117387152406605,659,2017,1991.0,973.0
502,CORONATION ROAD,CORONATION GROVE,CCR,Condominium,False,Freehold,0.0808509618480133,1693,2017,1875.0,857.0
354,CASHEW CRESCENT,CASHEW VILLAS,OCR,Terrace,False,Freehold,0.08041684888565827,4448,2017,1883.0,865.0
2739,PUNGGOL FIELD,PRIVE,OCR,Executive Condominium,False,Leasehold,0.07970483362132176,61534,2016,2010.0,93.0
2659,LORONG 1 REALTY PARK,PARKWOOD COLLECTION,OCR,Strata Terrace,False,Leasehold,0.0785504245015432,5640,2019,2017.0,97.0
2553,ROSYTH ROAD,ONE ROSYTH,OCR,Apartment,False,Freehold,0.07813255926463473,1198,2017,1886.0,868.0
350,CASHEW ROAD,CASHEW ESTATE,OCR,Terrace,False,Freehold,0.07791514181364198,702,2018,1882.0,863.0
2210,KIM YAM ROAD,LANGSTON VILLE,CCR,Apartment,False,Freehold,0.07655515453795503,3108,2017,1841.0,823.0
1034,HUA GUAN AVENUE,HUA GUAN GARDENS,RCR,Terrace,False,Freehold,0.07635683094198376,1408,2016,1883.0,866.0
2708,PINE GROVE,PINE GROVE,RCR,Condominium,False,Leasehold,0.07621325073071376,16625,2016,1984.0,67.0
1397,ELIAS ROAD,LANDED HOUSING DEVELOPMENT,OCR,Semi-detached,False,Freehold,0.07542760591267215,475,2017,1874.0,856.0
3928,LOYANG BESAR CLOSE,WATERCREST,OCR,Condominium,False,Freehold,0.07540242039713314,1661,2016,1885.0,868.0
2517,JALAN LOYANG BESAR,OCEAN FRONT SUITES,OCR,Apartment,False,Freehold,0.07527886681924242,3106,2016,1937.0,867.0
2497,WOODLANDS VIEW,NORTHWAVE,OCR,Executive Condominium,False,Leasehold,0.07502744302022915,88877,2016,2015.0,98.0
723,COMPASSVALE BOW,ESPARINA RESIDENCES,OCR,Executive Condominium,False,Leasehold,0.07477877298405322,51708,2017,2010.0,92.0
1764,KEW WALK,LANDED HOUSING DEVELOPMENT,OCR,Semi-detached,False,Leasehold,0.07462618424213718,1195,2016,1994.0,77.0
504,CORONATION ROAD,CORONATION VILLAGE,CCR,Terrace,False,Freehold,0.07453165029473914,932,2016,1875.0,858.0
484,LOYANG BESAR CLOSE,COASTAL BREEZE RESIDENCES,OCR,Condominium,False,Leasehold,0.07380729599412691,3848,2017,2008.0,90.0
2846,JANSEN ROAD,RESIDENTIAL APARTMENTS,OCR,Apartment,False,Freehold,0.0736842105263158,480,2018,1876.0,857.0
1217,MARINE PARADE ROAD,LAGOON VIEW,OCR,Apartment,False,Leasehold,0.07298553719008256,11950,2016,1977.0,60.0
3916,CHOA CHU KANG AVENUE 3,WANDERVALE,OCR,Executive Condominium,False,Leasehold,0.07209442581134731,43476,2016,2014.0,97.0
1079,KANG CHOO BIN ROAD,JADE VINE GARDENS,OCR,Terrace,False,Freehold,0.0718658125975199,1404,2017,1883.0,865.0
35,SANDILANDS ROAD,3@SANDILANDS,OCR,Apartment,False,Freehold,0.07123574217596544,1671,2017,1886.0,868.0
352,CASHEW ROAD,CASHEW HEIGHTS CONDOMINIUM,OCR,Condominium,False,Freehold,0.07113299713785079,11616,2016,1882.0,865.0
3174,HINDHEDE WALK,SOUTHAVEN II,OCR,Condominium,False,Freehold,0.07062428039181659,15237,2016,1877.0,860.0
1433,FLORENCE ROAD,LANDED HOUSING DEVELOPMENT,OCR,Detached,False,Freehold,0.07019293764954736,1095,2020,1934.0,861.0
442,LORONG CHUAN,CHUAN PARK,OCR,Condominium,False,Leasehold,0.07005965614347714,8182,2016,1980.0,63.0
2301,SELETAR GREEN WALK,LUXUS HILLS,OCR,Semi-detached,False,Freehold,0.06940848978648204,27963,2016,1879.0,862.0
2242,LEONIE HILL,LEONIE GARDENS,CCR,Condominium,False,Leasehold,0.06939133095075858,5302,2016,1990.0,73.0
1834,LORONG 7 REALTY PARK,LANDED HOUSING DEVELOPMENT,OCR,Terrace,False,Freehold,0.06923061160933552,932,2019,1876.0,856.0
3366,JALAN SULTAN,TEXTILE CENTRE,RCR,Apartment,False,Leasehold,0.06897072343804196,4032,2016,1970.0,53.0
3867,MAR THOMA ROAD,VETRO,RCR,Apartment,False,Freehold,0.06890231453124712,3332,2017,1882.0,864.0
121,PINE GROVE,ASTOR GREEN,RCR,Condominium,False,Leasehold,0.0687685675819261,4573,2016,1991.0,74.0
274,BURGUNDY RISE,BURGUNDY HILL,OCR,Semi-detached,False,Leasehold,0.06757351916376306,5953,2016,1995.0,78.0
180,JALAN MERDU,BEAUTY GARDEN,OCR,Terrace,False,Freehold,0.0675669140778672,2349,2017,1879.0,861.0
3489,HOUGANG AVENUE 2,THE FLORENCE RESIDENCES,OCR,Apartment,False,Leasehold,0.06725373029241084,245055,2019,2018.0,98.0
2559,ONE TREE HILL,ONE TREE HILL MANSIONS,CCR,Apartment,False,Leasehold,0.0669801587301587,2151,2016,1973.0,56.0
3602,PARK VALE,THE PARK VALE,CCR,Condominium,False,Freehold,0.0667763255772435,967,2017,1874.0,856.0
3345,IQBAL AVENUE,TEACHER'S HOUSING ESTATE,OCR,Terrace,False,Freehold,0.0664816682301446,9831,2016,1885.0,868.0
1517,HUA GUAN AVENUE,LANDED HOUSING DEVELOPMENT,RCR,Semi-detached,False,Freehold,0.06579692880087715,3076,2016,1879.0,862.0
1912,MENG SUAN ROAD,LANDED HOUSING DEVELOPMENT,OCR,Semi-detached,False,Freehold,0.065760435932467,1890,2017,1884.0,866.0
680,PUNGGOL WALK,ECOPOLITAN,OCR,Executive Condominium,False,Leasehold,0.06570440144490294,2753,2016,2012.0,95.0
3721,OCEAN DRIVE,THE VILLAS @ SENTOSA COVE,CCR,Terrace,False,Leasehold,0.06454981170831911,466,2017,2005.0,87.0
3622,CHOA CHU KANG AVENUE 3,THE RAINFOREST,OCR,Executive Condominium,False,Leasehold,0.06351507433125488,22520,2018,2011.0,92.0
912,GERALD CRESCENT,GREEN SPRINGS,OCR,Terrace,False,Freehold,0.06345457538377672,708,2017,1879.0,861.0
2423,WEST COAST RISE,MONTEREY PARK CONDOMINIUM,OCR,Condominium,False,Freehold,0.06331410120410205,10404,2016,1885.0,868.0
3290,WEST COAST GROVE,SUNGROVE,OCR,Strata Semi-detached,False,Leasehold,0.0631367863423308,1230,2016,1994.0,77.0
3200,ST. FRANCIS ROAD,ST FRANCIS COURT,RCR,Apartment,False,Leasehold,0.0630474114279783,3092,2017,1992.0,74.0
2372,KELLOCK ROAD,MELROSE PARK,CCR,Condominium,False,Freehold,0.0628237596408426,3388,2016,1877.0,860.0
993,CHU LIN ROAD,HILLVIEW GARDEN ESTATE,OCR,Semi-detached,False,Freehold,0.06272782814291011,5661,2016,1885.0,868.0
43,MOUNT SOPHIA,8 @ MOUNT SOPHIA,CCR,Condominium,False,Leasehold,0.06251744185108193,12323,2016,2002.0,89.0
463,TAMPINES CENTRAL 7,CITYLIFE@TAMPINES,OCR,Executive Condominium,False,Leasehold,0.06247401064949724,10536,2020,2012.0,91.0
3685,TAMPINES CENTRAL 7,THE TAMPINES TRILLIANT,OCR,Executive Condominium,False,Leasehold,0.06220924367678401,30268,2016,2011.0,94.0
941,TELOK BLANGAH DRIVE,HARBOUR VIEW TOWERS,RCR,Condominium,False,Leasehold,0.06181081081081084,5536,2016,1990.0,73.0
3389,BUNGA RAMPAI PLACE,THE ARECA,RCR,Strata Terrace,False,Leasehold,0.061626519276247085,720,2017,2000.0,82.0
979,ARCADIA ROAD,HILLCREST ARCADIA,CCR,Condominium,False,Leasehold,0.061138739844225784,14439,2016,1975.0,58.0
2693,UPPER CROSS STREET,PEOPLE'S PARK CENTRE,RCR,Apartment,False,Leasehold,0.060819460482325706,956,2016,1970.0,53.0
3656,MOUNT SINAI DRIVE,THE SIERRA,CCR,Apartment,False,Freehold,0.060806451612903226,3820,2016,1937.0,868.0
169,MOUNT VERNON ROAD,BARTLEY RIDGE,RCR,Condominium,False,Leasehold,0.060548794809601736,38853,2016,2012.0,95.0
3190,HINDHEDE WALK,SPRINGDALE CONDOMINIUM,OCR,Condominium,False,Freehold,0.06039258757631359,23208,2016,1877.0,860.0
1213,SWISS VIEW,LA SUISSE,CCR,Condominium,False,Freehold,0.06015314784657496,6460,2016,1878.0,861.0
211,JALAN KAMPONG CHANTEK,BINJAI CREST,RCR,Strata Terrace,False,Leasehold,0.05941312963497153,8160,2016,1996.0,79.0
3157,CHOA CHU KANG GROVE,SOL ACRES,OCR,Executive Condominium,False,Leasehold,0.05898217736995158,200071,2016,2014.0,97.0
415,KING'S ROAD,CHARMING GARDEN,CCR,Condominium,False,Freehold,0.05851972177100248,1210,2017,1875.0,857.0
1140,KENSINGTON PARK DRIVE,KENSINGTON PARK CONDOMINIUM,OCR,Condominium,False,Freehold,0.05835944700460831,7744,2016,1878.0,861.0
1980,PEARL ISLAND,LANDED HOUSING DEVELOPMENT,CCR,Detached,False,Leasehold,0.05806840450645476,704,2017,2008.0,90.0
3701,DUCHESS ROAD,THE TRESOR,CCR,Condominium,False,Freehold,0.057420488996494365,4353,2016,1875.0,858.0
718,SHENTON WAY,EON SHENTON,CCR,Apartment,False,Leasehold,0.05720170444372832,4285,2016,2011.0,94.0
2944,ANCHORVALE LANE,RIVERCOVE RESIDENCES,OCR,Executive Condominium,False,Leasehold,0.05705852246316805,121875,2018,2016.0,97.0
2287,LOYANG AVENUE,LOYANG VALLEY,OCR,Condominium,False,Leasehold,0.05705760360158065,13950,2016,1982.0,65.0
2467,MARINE VISTA,NEPTUNE COURT,OCR,Apartment,False,Leasehold,0.05660611766264915,29373,2016,1975.0,58.0
967,TOH TUCK ROAD,HIGH OAK CONDOMINIUM,RCR,Condominium,False,Leasehold,0.05612236807520338,11547,2016,1996.0,79.0
2687,TANJONG RHU ROAD,PEBBLE BAY,RCR,Condominium,False,Leasehold,0.05602749341984218,23371,2016,1994.0,77.0
3692,EDGEDALE PLAINS,THE TERRACE,OCR,Executive Condominium,False,Leasehold,0.056024291485813726,70977,2016,2013.0,96.0
1071,JURONG EAST STREET 13,IVORY HEIGHTS,OCR,Condominium,False,Leasehold,0.05555891964734505,12584,2016,1986.0,70.0
3149,SEMBAWANG CRESCENT,SKYPARK RESIDENCES,OCR,Executive Condominium,False,Leasehold,0.055462551489495214,4014,2016,2013.0,96.0
2295,MISTRI ROAD,LUMIERE,CCR,Apartment,False,Leasehold,0.05536291760412491,9273,2016,2006.0,89.0
989,HILLVIEW AVENUE,HILLTOP GROVE,OCR,Condominium,False,Leasehold,0.05481856250141576,7454,2016,1996.0,79.0
3820,PUNGGOL WALK,TWIN WATERFALLS,OCR,Executive Condominium,False,Leasehold,0.054620676954212875,39294,2017,2011.0,93.0
3846,RIVER VALLEY ROAD,VALLEY PARK,CCR,Condominium,False,Freehold,0.054586977968585894,20066,2016,1877.0,860.0
3383,HILLVIEW AVENUE,THE AMSTON,OCR,Apartment,False,Freehold,0.05450733752620548,3120,2017,1885.0,867.0
1220,MARINE PARADE ROAD,LAGUNA PARK,OCR,Apartment,False,Leasehold,0.05428671084757587,12667,2016,1977.0,60.0
1057,ANSON ROAD,INTERNATIONAL PLAZA,CCR,Apartment,False,Leasehold,0.054272140907963305,5006,2016,1970.0,53.0
2162,UPPER NERAM ROAD,LANDED HOUSING DEVELOPMENT,OCR,Semi-detached,False,Freehold,0.05420718217831972,478,2018,1879.0,860.0
2626,SEMBAWANG CRESCENT,PARC LIFE,OCR,Executive Condominium,False,Leasehold,0.05369945206992177,144166,2016,2014.0,97.0
485,JALAN LOYANG BESAR,COASTAL VIEW RESIDENCES,OCR,Apartment,False,Freehold,0.05348837209302323,2873,2016,1885.0,868.0
3753,BRIGHT HILL DRIVE,THOMSON THREE,RCR,Apartment,False,Leasehold,0.05347595297426946,13107,2016,2012.0,95.0
3926,PASIR RIS LINK,WATERCOLOURS,OCR,Executive Condominium,False,Leasehold,0.053427902393526135,25200,2018,2012.0,93.0
3112,YISHUN STREET 51,SIGNATURE AT YISHUN,OCR,Executive Condominium,False,Leasehold,0.05311573736858991,97166,2016,2014.0,97.0
1303,CASHEW CRESCENT,LANDED HOUSING DEVELOPMENT,OCR,Semi-detached,False,Freehold,0.05296083144366661,480,2019,1883.0,863.0
2345,MARTIN PLACE,MARTIN MODERN,CCR,Condominium,False,Leasehold,0.05294914998850581,110932,2017,2016.0,98.0
553,ELIAS TERRACE,D'ELIAS,OCR,Strata Terrace,False,Freehold,0.052833804363296245,964,2017,1881.0,863.0
3422,DUNEARN ROAD,THE BLOSSOMVALE,RCR,Condominium,False,Freehold,0.052796679057917115,8218,2016,1884.0,867.0
2983,ROSYTH ROAD,ROSYTH LODGE,OCR,Apartment,False,Freehold,0.0515047424187065,720,2017,1886.0,868.0
113,RIVER VALLEY ROAD,ASPEN HEIGHTS,CCR,Condominium,False,Freehold,0.05123577740421513,20080,2016,1841.0,824.0
615,PRINCESS OF WALES ROAD,DUKE'S GARDEN,CCR,Semi-detached,False,Freehold,0.05090704260473079,480,2017,1875.0,857.0
3446,LORONG CHUAN,THE CHUAN,OCR,Condominium,False,Freehold,0.050778741306425436,5319,2016,1877.0,860.0
227,SEGAR ROAD,BLOSSOM RESIDENCES,OCR,Executive Condominium,False,Leasehold,0.05058676447357886,37683,2016,2011.0,94.0
694,ELIAS GREEN,ELIAS GREEN,OCR,Condominium,False,Leasehold,0.05053045556935028,18515,2016,1991.0,74.0
3925,EDGEFIELD PLAINS,WATERBAY,OCR,Executive Condominium,False,Leasehold,0.05037371461096669,16297,2018,2012.0,93.0
3227,STIRLING ROAD,STIRLING RESIDENCES,RCR,Apartment,False,Leasehold,0.050282271563011745,292663,2018,2017.0,98.0
2482,CHOA CHU KANG ROAD,NICON GARDENS,OCR,Condominium,False,Leasehold,0.0498315707011359,1896,2017,1981.0,63.0
1222,TAO CHING ROAD,LAKE LIFE,OCR,Executive Condominium,False,Leasehold,0.049628505145277446,2505,2016,2013.0,96.0
1227,YUAN CHING ROAD,LAKESIDE TOWER,OCR,Apartment,False,Leasehold,0.049484536082474224,2388,2016,1975.0,58.0
653,JALAN DEMAK,EAST VIEW GARDEN,OCR,Semi-detached,False,Leasehold,0.04928641298204649,3543,2016,1965.0,48.0
184,BEDOK SOUTH AVENUE 3,BEDOK COURT,OCR,Condominium,False,Leasehold,0.04926876299919502,12280,2016,1982.0,65.0
2691,SIMS DRIVE,PENROSE,RCR,Apartment,False,Leasehold,0.04897857506973742,88718,2020,2019.0,98.0
3410,CANTONMENT ROAD,THE BEACON,RCR,Apartment,False,Leasehold,0.04882293114976267,4776,2017,2004.0,86.0
135,SILAT AVENUE,AVENUE SOUTH RESIDENCE,RCR,Apartment,False,Leasehold,0.04859782948494913,154513,2019,2018.0,98.0
3757,BRIGHT HILL DRIVE,THOMSON VIEW CONDOMINIUM,RCR,Condominium,False,Leasehold,0.048416671475384886,7459,2016,1975.0,58.0
3612,BEACH ROAD,THE PLAZA,CCR,Apartment,False,Leasehold,0.04839495679352093,5458,2017,1968.0,50.0
3725,CANBERRA DRIVE,THE VISIONAIRE,OCR,Executive Condominium,False,Leasehold,0.048333739645920956,114997,2016,2015.0,98.0
1451,GERALD DRIVE,LANDED HOUSING DEVELOPMENT,OCR,Semi-detached,False,Freehold,0.0482423084074973,689,2016,1886.0,869.0
637,LORONG G TELOK KURAU,EAST BAY GARDENS,OCR,Apartment,False,Leasehold,0.04793724089116584,2389,2017,1995.0,77.0
216,SIN MING WALK,BISHAN PARK CONDOMINIUM,RCR,Condominium,False,Leasehold,0.04781623124037246,6989,2016,1991.0,74.0
3824,RIVER VALLEY ROAD,UE SQUARE,CCR,Apartment,False,Freehold,0.047811394135121345,11263,2016,1953.0,866.0
199,ANCHORVALE CRESCENT,BELLEWATERS,OCR,Executive Condominium,False,Leasehold,0.04760421617486695,29765,2016,2013.0,96.0
3966,WEST COAST VALE,WHISTLER GRAND,OCR,Apartment,False,Leasehold,0.0476001371825115,168115,2018,2018.0,99.0
1007,HOLLAND GREEN,HOLLAND GREEN,CCR,Detached,False,Leasehold,0.047496638323939015,2568,2017,1995.0,77.0
3950,WEST COAST AVENUE,WEST COAST GARDENS,OCR,Terrace,False,Freehold,0.04749494858830365,8914,2016,1928.0,868.0
868,MOUNT SINAI LANE,GLENTREES,CCR,Condominium,False,Freehold,0.047378147333515634,7018,2017,1885.0,867.0
1717,JALAN TARI SERIMPI,LANDED HOUSING DEVELOPMENT,OCR,Terrace,True,Freehold,0.0471953832127934,1636,2016,1879.0,862.0
3941,PUNGGOL FIELD WALK,WATERWOODS,OCR,Executive Condominium,False,Leasehold,0.04701142018825872,12523,2016,2013.0,96.0
1712,JALAN TANI,LANDED HOUSING DEVELOPMENT,OCR,Detached,False,Freehold,0.04696156566213502,1415,2016,1875.0,858.0
3633,RIVERINA VIEW,THE RIVERINA,OCR,Terrace,False,Leasehold,0.04695466309683179,9132,2016,1996.0,79.0
3126,LORONG 27A GEYLANG,SIMS GREEN,RCR,Apartment,False,Leasehold,0.04629745112965255,6913,2016,2001.0,84.0
3732,TONG WATT ROAD,THE WHARF RESIDENCE,CCR,Condominium,False,Freehold,0.046103447421532065,8920,2016,1841.0,824.0
704,CLUB STREET,EMERALD GARDEN,RCR,Condominium,False,Freehold,0.04604437352850703,6762,2016,1827.0,810.0
1228,UPPER THOMSON ROAD,LAKEVIEW ESTATE,RCR,Apartment,False,Leasehold,0.04576271186440675,4780,2016,1977.0,60.0
1778,LANGE ROAD,LANDED HOUSING DEVELOPMENT,OCR,Terrace,False,Freehold,0.04551956242336414,936,2018,1876.0,857.0
3131,GEYLANG EAST AVENUE 2,SIMSVILLE,RCR,Condominium,False,Leasehold,0.04537527342769625,18754,2016,1994.0,77.0
706,INDUS ROAD,EMERALD PARK,RCR,Condominium,False,Leasehold,0.04506932463042234,9849,2016,1991.0,74.0
3711,ANCHORVALE CRESCENT,THE VALES,OCR,Executive Condominium,False,Leasehold,0.04495745989421016,58570,2016,2014.0,97.0
3600,ANG MO KIO AVENUE 2,THE PANORAMA,OCR,Condominium,False,Leasehold,0.044790744003967715,39378,2016,2013.0,96.0
353,CASHEW ROAD,CASHEW PARK CONDOMINIUM,OCR,Condominium,False,Freehold,0.044717107991029174,2659,2016,1882.0,865.0
2994,RIVER VALLEY ROAD,RV POINT,CCR,Apartment,False,Freehold,0.044715174870088165,476,2017,1841.0,823.0
130,SENGKANG EAST AVENUE,AUSTVILLE RESIDENCES,OCR,Executive Condominium,False,Leasehold,0.044650882668844566,44181,2017,2010.0,92.0
431,DAIRY FARM CRESCENT,CHESTNUT VILLE,OCR,Condominium,False,Freehold,0.04419239455782314,1904,2017,1882.0,864.0
478,BISHAN STREET 25,CLOVER BY THE PARK,RCR,Condominium,False,Leasehold,0.04401060423772865,25305,2016,2007.0,90.0
2755,HOLLAND ROAD,QUINTERRA,CCR,Apartment,False,Leasehold,0.04331830285815729,4541,2016,2006.0,89.0
430,JALAN EMAS URAI,CHESTNUT RESIDENCES,OCR,Strata Terrace,False,Freehold,0.04327421537452753,1217,2016,1882.0,865.0
968,FERNVALE ROAD,HIGH PARK RESIDENCES,OCR,Apartment,False,Leasehold,0.043173201175758597,67925,2016,2014.0,97.0
